Kata,Bobot
pertunjuk,-3
pertiwi,-3
pertentangan,-5
persuasi,-3
persoalan,-3
persetubuhan,-3
persesuaian bunyi,-3
persengketaan,-4
persembahan,-2
persediaan,-3
persangkutan,-4
perpegangan,-2
perosok,-4
permusuhan,-5
permulaan,-3
permenungan,-3
permai,-4
perlina,-3
perlengkapan,-3
perlawanan,-5
perlahan-lahan,-4
perkutut,-3
perkomplotan,-4
perkembangan,-4
perkawinan,-3
perkara,-4
perkakas,-3
perit,-4
peristiwa,-2
pering,-3
periksa,-5
perih,-4
perhiasan,-4
perguaman,-4
pergok,-5
pergi,-3
pergesekan,-4
pergabungan,-3
perfek,-1
peretel,-4
peres,-3
perenyak,-4
perebutan,-3
perdebatan,-3
perdata,-3
percuma,-4
percekcokan,-4
percaya diri,-1
percaturan,-3
percabangan,-4
perbincangan,-3
perbedaan,-2
perbaraan,-4
perbantahan,-3
perban,-3
perapian,-4
perantara,-4
peranjat,-3
perangsang,-3
perang mulut,-5
perang,-3
peranakan,-3
perak,-4
perahu,-4
peragaan,-3
peradam,-5
pepat,-3
pepak,-3
penyungkit,-3
penyumbat,-3
penyudahan,-3
penyudah,-2
penyodok,-3
penyinaran,-3
penyimpangan,-4
penyigian,-3
penyertifikatan,-4
penyepit,-3
penyepelean,-4
penyemat,-4
penyelidikan,-5
penyelewengan,-4
penyekutuan (Allah),-5
penyebab,-3
penyatuan,-4
penyap,-3
penyangkal,-4
penyanggah,-4
penyangga,-3
penyalut,-3
penyakit,-4
penyadur,-3
penyadaran,-3
penuturan,-3
penutupan,-2
penutup,-3
penurut,-3
penurunan,-5
penunggu,-2
penumpang,-3
penuh sesak,-3
penubuhan,-3
pentung-pentungan,-4
penting,-4
pental,-3
pensiun,-3
penongkat senduk,-3
penolak,-3
penodong,-5
penobatan,-3
penjuru,-3
penjelmaan,-3
penjara,-4
peniti,-4
penis,-5
penipu,-4
pening,-3
penindihan,-4
penindasan,-4
peniadaan,-3
pengunjukan,-3
pengungkit,-3
pengumuman,-3
pengumpil,-3
pengukuhan,-3
pengotoran,-4
pengiring,-3
pengiriman,-5
pengintai,-3
pengingkaran,-3
pengindahan,-2
pengikat,-3
penghukuman arestasi,-3
penghormatan,-3
penghisapan,-4
penghinaan,-5
penghilangan,-3
penghayatan,-2
penghapusan,-3
penghapus,-3
penghambat,-5
penghalang,-5
penghabisan,-3
pengguguran,-3
penggentaran,-4
penggelapan,-4
penggaruk,-3
pengganti,-3
pengganggu,-4
penggali,-4
pengetam,-3
pengesahan,-3
pengen,-2
pengeluaran,-3
pengejawantahan,-3
pengecoh,-4
pengebat,-3
pengasih,-4
pengaruh,-2
pengar,-4
pengap,-4
peng-antara,-3
pengantara,-3
pengangkutan,-5
pengangkatan,-3
pengangguran,-4
penganggur,-4
pengang,-3
pengamitan,-4
pengakuan,-3
pengacauan,-4
penertiban,-2
penerangan,-3
penengah,-3
penelik,-3
pendusta,-4
pendongkrak,-3
pending,-3
penderitaan,-5
pendek tali,-4
pendek akal,-3
pendek,-2
pendapatan,-3
pendamai,-3
pendahuluan,-1
pencukuran,-4
pencucuk,-3
pencolek api,-4
pencet,-2
pencerahan,-3
pencemaran,-4
pencegah,-3
pencahayaan,-3
penata,-3
penat,-2
penarung,-4
penarah,-3
penangkis,-3
penanggung,-4
penangguhan,-2
penanggalan,-4
penanda,-3
penabalan,-3
pemupusan,-3
pemudaan,-1
pemuda,-1
pemisah,-3
peminta-minta,-4
pemikiran,-3
pemerdaya,-4
pemerasan,-4
pemburu,-5
pembungkus,-3
pembudayaan,-5
pembohong,-4
pembesar,-2
pembersih,-4
pemberon-takan,-4
pemberian,-3
pemberadaban,-3
pembendung,-3
pembelit,-3
pembatalan,-3
pembarut,-3
pembantah,-4
pembangkang,-4
pembalut,-3
pembaiatan,-3
pembabil,-4
pematang,-4
pemarah,-4
pemantik api,-4
pemalak,-5
pemain,-3
peluru,-3
peluk,-3
pelosot,-3
pelosok,-3
pelor,-3
pelontar,-3
pelita,-2
pelit,-5
pelir,-5
peletan,-3
pelet,-3
pelesit,-4
peleset,-4
peles,-1
pelerai,-3
pelecok,-3
pelecehan,-5
pelayan,-2
pelanting,-3
pelantikan,-3
pelana,-3
pelaksanaan,-4
